,model_name,units,batch_size,learning_rate,dense_units,dropout_rate,run,best_val_loss,best_epoch,final_train_loss,epochs,time
29,stacked_lstm,128,4,0.01,,,1,0.034592945128679276,41,0.004527937155216932,51,14.235589265823364
30,stacked_lstm,32,8,0.005,,,1,0.05594101548194885,24,0.013657920062541962,34,6.141639232635498
31,stacked_lstm,64,8,0.005,,,1,0.059025079011917114,22,0.0118752745911479,32,6.033838748931885
32,stacked_lstm,128,8,0.005,,,1,0.048823799937963486,16,0.012504756450653076,26,5.998931169509888
33,stacked_lstm,32,8,0.01,,,1,0.05263218656182289,22,0.011087150312960148,32,5.847999095916748
34,stacked_lstm,64,8,0.01,,,1,0.06918993592262268,8,0.016293715685606003,18,4.159887075424194
35,stacked_lstm,128,8,0.01,,,1,0.03280338644981384,38,0.010323545895516872,48,9.819271087646484
36,stacked_lstm,32,16,0.005,,,1,0.06335245817899704,71,0.010533582419157028,81,10.682128667831421
37,stacked_lstm,64,16,0.005,,,1,0.05662728473544121,57,0.010630331002175808,67,9.492193460464478
38,stacked_lstm,128,16,0.005,,,1,0.06605520844459534,15,0.014416751451790333,25,5.062588214874268
39,stacked_lstm,32,16,0.01,,,1,0.06522290408611298,28,0.012416978366672993,38,5.855950832366943
40,stacked_lstm,64,16,0.01,,,1,0.05977550521492958,10,0.015338175930082798,20,4.106600046157837
41,stacked_lstm,128,16,0.01,,,1,0.06234094500541687,47,0.008017879910767078,57,9.170734882354736
42,stacked_lstm,32,32,0.005,,,1,0.22900421917438507,40,0.038242220878601074,50,6.8131959438323975
43,stacked_lstm,64,32,0.005,,,1,0.12512415647506714,16,0.023782750591635704,26,4.521541595458984
44,stacked_lstm,128,32,0.005,,,1,0.10718971490859985,10,0.021984638646245003,20,4.038121223449707
45,stacked_lstm,32,32,0.01,,,1,0.07594606280326843,62,0.01283032726496458,72,8.617461204528809
46,stacked_lstm,64,32,0.01,,,1,0.054778266698122025,35,0.011417186819016933,45,6.312006235122681
47,stacked_lstm,128,32,0.01,,,1,0.13408665359020233,24,0.025151913985610008,34,5.527052164077759
48,lstm_dense,32,4,0.005,64.0,,1,0.06304037570953369,18,0.012989871203899384,28,7.015002489089966
