,model_name,window_size,units,batch_size,learning_rate,dense_units,dropout_rate,best_val_loss,best_epoch,final_train_loss,epochs,time
158,lstm_dropout,6,128,8,0.005,128.0,0.1,0.11285663396120071,7,0.03898747265338898,17,4.397093296051025
159,lstm_dropout,6,32,8,0.01,128.0,0.1,0.11032642424106598,6,0.03914512321352959,16,3.7636706829071045
160,lstm_dropout,6,64,8,0.01,128.0,0.1,0.055717624723911285,56,0.020996814593672752,66,10.478162288665771
161,lstm_dropout,6,128,8,0.01,128.0,0.1,0.09971383959054947,7,0.03892765939235687,17,4.428118467330933
162,lstm_dropout,6,32,8,0.005,128.0,0.2,0.10687299072742462,10,0.0371430478990078,20,4.165354013442993
163,lstm_dropout,6,64,8,0.005,128.0,0.2,0.11545579880475998,24,0.036385636776685715,34,6.1452484130859375
164,lstm_dropout,6,128,8,0.005,128.0,0.2,0.10858388990163803,7,0.04142240434885025,17,4.4945714473724365
165,lstm_dropout,6,32,8,0.01,128.0,0.2,0.12113098055124283,7,0.04112967476248741,17,3.748491048812866
166,lstm_dropout,6,64,8,0.01,128.0,0.2,0.10054882615804672,7,0.043152179569005966,17,3.9004359245300293
167,lstm_dropout,6,128,8,0.01,128.0,0.2,0.12044176459312439,15,0.0343945138156414,25,5.644189357757568
168,lstm_dropout,6,32,16,0.005,64.0,0.05,0.05683605372905731,95,0.025797372683882713,105,12.740783452987671
169,lstm_dropout,6,64,16,0.005,64.0,0.05,0.0643891766667366,53,0.026498733088374138,63,8.7752525806427
170,lstm_dropout,6,128,16,0.005,64.0,0.05,0.1281949132680893,10,0.03704793378710747,20,4.2117602825164795
171,lstm_dropout,6,32,16,0.01,64.0,0.05,0.06401234120130539,43,0.024151377379894257,53,7.492251396179199
172,lstm_dropout,6,64,16,0.01,64.0,0.05,0.07497388869524002,66,0.024513697251677513,76,9.973525047302246
173,lstm_dropout,6,128,16,0.01,64.0,0.05,0.07818035036325455,25,0.024195395410060883,35,6.155533075332642
174,lstm_dropout,6,32,16,0.005,64.0,0.1,0.08541811257600784,66,0.030940216034650803,76,9.374349355697632
175,lstm_dropout,6,64,16,0.005,64.0,0.1,0.06198984012007713,70,0.02935779094696045,80,10.484716415405273
176,lstm_dropout,6,128,16,0.005,64.0,0.1,0.12786798179149628,10,0.03895286098122597,20,4.236845970153809
177,lstm_dropout,6,32,16,0.01,64.0,0.1,0.10091008245944977,48,0.0357782207429409,58,7.499932289123535
178,lstm_dropout,6,64,16,0.01,64.0,0.1,0.11072395741939545,8,0.03615584969520569,18,3.609677314758301
179,lstm_dropout,6,128,16,0.01,64.0,0.1,0.10689028352499008,10,0.037111055105924606,20,4.196137189865112
180,lstm_dropout,6,32,16,0.005,64.0,0.2,0.11040227860212326,33,0.03646035119891167,43,6.166303634643555
181,lstm_dropout,6,64,16,0.005,64.0,0.2,0.11285614967346191,19,0.0402914434671402,29,4.939858675003052
182,lstm_dropout,6,128,16,0.005,64.0,0.2,0.12251973152160645,12,0.04067648574709892,22,4.449567079544067
183,lstm_dropout,6,32,16,0.01,64.0,0.2,0.11620068550109863,9,0.04399391636252403,19,3.6776933670043945
184,lstm_dropout,6,64,16,0.01,64.0,0.2,0.09478537738323212,41,0.031248128041625023,51,7.153642177581787
185,lstm_dropout,6,128,16,0.01,64.0,0.2,0.10709872841835022,14,0.04210124909877777,24,4.560164213180542
186,lstm_dropout,6,32,16,0.005,128.0,0.05,0.0626010000705719,69,0.02671210840344429,79,9.876029014587402
187,lstm_dropout,6,64,16,0.005,128.0,0.05,0.05454032123088837,58,0.024873334914445877,68,9.201354503631592
188,lstm_dropout,6,128,16,0.005,128.0,0.05,0.06388523429632187,47,0.025009291246533394,57,8.892009019851685
189,lstm_dropout,6,32,16,0.01,128.0,0.05,0.06477148085832596,44,0.024401016533374786,54,7.28563117980957
190,lstm_dropout,6,64,16,0.01,128.0,0.05,0.06496572494506836,36,0.027555301785469055,46,6.825247526168823
191,lstm_dropout,6,128,16,0.01,128.0,0.05,0.10520739108324051,15,0.02950201742351055,25,4.815903663635254
192,lstm_dropout,6,32,16,0.005,128.0,0.1,0.0663008987903595,69,0.02766316942870617,79,9.981702327728271
193,lstm_dropout,6,64,16,0.005,128.0,0.1,0.0714666023850441,53,0.02858768217265606,63,8.680691719055176
194,lstm_dropout,6,128,16,0.005,128.0,0.1,0.05389880761504173,80,0.02342124655842781,90,12.880537986755371
195,lstm_dropout,6,32,16,0.01,128.0,0.1,0.05853015184402466,61,0.02712908759713173,71,9.046595573425293
196,lstm_dropout,6,64,16,0.01,128.0,0.1,0.06274306774139404,54,0.02765071578323841,64,8.87186312675476
197,lstm_dropout,6,128,16,0.01,128.0,0.1,0.09922381490468979,10,0.035173315554857254,20,4.128629207611084
198,lstm_dropout,6,32,16,0.005,128.0,0.2,0.06593190133571625,83,0.028196172788739204,93,11.428474187850952
199,lstm_dropout,6,64,16,0.005,128.0,0.2,0.10055745393037796,48,0.03693408519029617,58,7.819227457046509
200,lstm_dropout,6,128,16,0.005,128.0,0.2,0.09199050068855286,66,0.034704383462667465,76,11.120896816253662
201,lstm_dropout,6,32,16,0.01,128.0,0.2,0.09073202311992645,45,0.0340743362903595,55,7.098052024841309
202,lstm_dropout,6,64,16,0.01,128.0,0.2,0.11126209795475006,8,0.039171040058135986,18,3.5394487380981445
203,lstm_dropout,6,128,16,0.01,128.0,0.2,0.09924961626529694,10,0.038343921303749084,20,4.187636852264404
204,lstm_dropout,6,32,32,0.005,64.0,0.05,0.0974576324224472,86,0.035359691828489304,96,10.582363367080688
205,lstm_dropout,6,64,32,0.005,64.0,0.05,0.09426701068878174,91,0.029561199247837067,101,11.237810611724854
206,lstm_dropout,6,128,32,0.005,64.0,0.05,0.10409307479858398,53,0.03432190790772438,63,8.35788869857788
207,lstm_dropout,6,32,32,0.01,64.0,0.05,0.09224788844585419,57,0.03173192963004112,67,7.761867046356201
208,lstm_dropout,6,64,32,0.01,64.0,0.05,0.10928983241319656,47,0.03531888499855995,57,7.108202934265137
209,lstm_dropout,6,128,32,0.01,64.0,0.05,0.0918300673365593,35,0.029807131737470627,45,6.3634374141693115
210,lstm_dropout,6,32,32,0.005,64.0,0.1,0.11119242757558823,45,0.036777280271053314,55,6.849946022033691
211,lstm_dropout,6,64,32,0.005,64.0,0.1,0.09191172569990158,75,0.033735260367393494,85,9.860090017318726
212,lstm_dropout,6,128,32,0.005,64.0,0.1,0.10607445240020752,39,0.035401929169893265,49,6.820225238800049
213,lstm_dropout,6,32,32,0.01,64.0,0.1,0.10848294943571091,26,0.03737965598702431,36,5.082221984863281
214,lstm_dropout,6,64,32,0.01,64.0,0.1,0.1083449199795723,43,0.03794018551707268,53,6.768168210983276
215,lstm_dropout,6,128,32,0.01,64.0,0.1,0.11261368542909622,16,0.03714151680469513,26,4.518446922302246
216,lstm_dropout,6,32,32,0.005,64.0,0.2,0.1225619688630104,57,0.039803482592105865,67,8.090020418167114
217,lstm_dropout,6,64,32,0.005,64.0,0.2,0.10882815718650818,60,0.036901526153087616,70,8.51720142364502
218,lstm_dropout,6,128,32,0.005,64.0,0.2,0.10422636568546295,36,0.03731219097971916,46,6.502620697021484
219,lstm_dropout,6,32,32,0.01,64.0,0.2,0.0972754955291748,72,0.036954909563064575,82,9.226691246032715
220,lstm_dropout,6,64,32,0.01,64.0,0.2,0.10490459948778152,36,0.03633926063776016,46,6.133486032485962
221,lstm_dropout,6,128,32,0.01,64.0,0.2,0.09774776548147202,29,0.039620209485292435,39,5.6943957805633545
222,lstm_dropout,6,32,32,0.005,128.0,0.05,0.10791405290365219,84,0.03446708619594574,94,10.438040018081665
223,lstm_dropout,6,64,32,0.005,128.0,0.05,0.10640374571084976,45,0.034662581980228424,55,7.06826639175415
224,lstm_dropout,6,128,32,0.005,128.0,0.05,0.10166655480861664,55,0.03221965208649635,65,8.593058109283447
225,lstm_dropout,6,32,32,0.01,128.0,0.05,0.07638274133205414,66,0.028860460966825485,76,8.757153272628784
226,lstm_dropout,6,64,32,0.01,128.0,0.05,0.0907650738954544,51,0.031935449689626694,61,7.504820346832275
227,lstm_dropout,6,128,32,0.01,128.0,0.05,0.11100026965141296,39,0.03516454994678497,49,6.814316034317017
228,lstm_dropout,6,32,32,0.005,128.0,0.1,0.0984794944524765,84,0.03427061438560486,94,10.570599794387817
229,lstm_dropout,6,64,32,0.005,128.0,0.1,0.08673293888568878,82,0.029518237337470055,92,10.445095539093018
230,lstm_dropout,6,128,32,0.005,128.0,0.1,0.1254379153251648,28,0.035628486424684525,38,5.521328449249268
231,lstm_dropout,6,32,32,0.01,128.0,0.1,0.10747204720973969,27,0.035514455288648605,37,4.997205018997192
232,lstm_dropout,6,64,32,0.01,128.0,0.1,0.09386657923460007,51,0.03383916988968849,61,7.510741233825684
233,lstm_dropout,6,128,32,0.01,128.0,0.1,0.10618685930967331,26,0.03328825160861015,36,5.353713274002075
234,lstm_dropout,6,32,32,0.005,128.0,0.2,0.12630373239517212,76,0.038478147238492966,86,9.959217071533203
235,lstm_dropout,6,64,32,0.005,128.0,0.2,0.08444510400295258,111,0.029691945761442184,121,13.331777095794678
236,lstm_dropout,6,128,32,0.005,128.0,0.2,0.10732994973659515,56,0.03603591024875641,66,8.636976957321167
237,lstm_dropout,6,32,32,0.01,128.0,0.2,0.10094670951366425,62,0.03585276007652283,72,8.301271915435791
238,lstm_dropout,6,64,32,0.01,128.0,0.2,0.1045876294374466,48,0.037862539291381836,58,7.1173577308654785
239,lstm_dropout,6,128,32,0.01,128.0,0.2,0.0921378806233406,26,0.03330337256193161,36,5.3350770473480225
240,baseline_lstm,12,32,4,0.005,,,0.06372702121734619,11,0.016710655763745308,21,3.612338066101074
241,baseline_lstm,12,64,4,0.005,,,0.06249737739562988,14,0.01795077882707119,24,4.0981245040893555
242,baseline_lstm,12,128,4,0.005,,,0.05673421546816826,38,0.010837815701961517,48,8.230773448944092
243,baseline_lstm,12,32,4,0.01,,,0.05342748388648033,16,0.014812401495873928,26,4.316745281219482
244,baseline_lstm,12,64,4,0.01,,,0.05573089048266411,8,0.0216232780367136,18,3.299678087234497
245,baseline_lstm,12,128,4,0.01,,,0.039563581347465515,31,0.00834599044173956,41,7.268971681594849
246,baseline_lstm,12,32,8,0.005,,,0.05635988339781761,24,0.014503035694360733,34,4.35145902633667
247,baseline_lstm,12,64,8,0.005,,,0.05214843526482582,63,0.00948312971740961,73,8.656389713287354
248,baseline_lstm,12,128,8,0.005,,,0.07503972947597504,9,0.017612401396036148,19,3.0611073970794678
249,baseline_lstm,12,32,8,0.01,,,0.06601022183895111,12,0.014864034950733185,22,3.088837146759033
250,baseline_lstm,12,64,8,0.01,,,0.06682396680116653,9,0.016388123854994774,19,2.9421162605285645
251,baseline_lstm,12,128,8,0.01,,,0.05474945902824402,29,0.010034865699708462,39,5.157408714294434
252,baseline_lstm,12,32,16,0.005,,,0.06213408708572388,45,0.012090661562979221,55,5.825460195541382
253,baseline_lstm,12,64,16,0.005,,,0.0513436384499073,108,0.01124639343470335,118,12.084540605545044
254,baseline_lstm,12,128,16,0.005,,,0.04437924548983574,59,0.014057914726436138,69,7.680756568908691
255,baseline_lstm,12,32,16,0.01,,,0.05161931738257408,25,0.013568349182605743,35,3.874006748199463
256,baseline_lstm,12,64,16,0.01,,,0.05510575696825981,27,0.013723522424697876,37,4.18264365196228
257,baseline_lstm,12,128,16,0.01,,,0.05172339081764221,15,0.022301988676190376,25,3.2635672092437744
258,baseline_lstm,12,32,32,0.005,,,0.1935722380876541,30,0.031086720526218414,40,4.226240158081055
259,baseline_lstm,12,64,32,0.005,,,0.12928064167499542,20,0.023480571806430817,30,3.3846144676208496
260,baseline_lstm,12,128,32,0.005,,,0.11173409968614578,16,0.02099032513797283,26,3.1212234497070312
261,baseline_lstm,12,32,32,0.01,,,0.06484632939100266,44,0.013499404303729534,54,5.261681318283081
262,baseline_lstm,12,64,32,0.01,,,0.08429517596960068,43,0.016609633341431618,53,5.126692295074463
263,baseline_lstm,12,128,32,0.01,,,0.05287996307015419,36,0.016448823735117912,46,4.75449013710022
264,stacked_lstm,12,32,4,0.005,,,0.06476061791181564,9,0.015381519682705402,19,4.1153223514556885
265,stacked_lstm,12,64,4,0.005,,,0.05779275298118591,18,0.013930276036262512,28,5.8810200691223145
266,stacked_lstm,12,128,4,0.005,,,0.04584848880767822,11,0.012833279557526112,21,5.797347784042358
267,stacked_lstm,12,32,4,0.01,,,0.05298636853694916,15,0.012699156068265438,25,5.0509254932403564
268,stacked_lstm,12,64,4,0.01,,,0.0480288565158844,15,0.012793943285942078,25,5.461459159851074
269,stacked_lstm,12,128,4,0.01,,,0.034592945128679276,41,0.004527937155216932,51,12.139623403549194
270,stacked_lstm,12,32,8,0.005,,,0.05594101548194885,24,0.013657920062541962,34,5.157973527908325
271,stacked_lstm,12,64,8,0.005,,,0.059025079011917114,22,0.0118752745911479,32,5.061529636383057
272,stacked_lstm,12,128,8,0.005,,,0.048823799937963486,16,0.012504756450653076,26,5.1541595458984375
273,stacked_lstm,12,32,8,0.01,,,0.05263218656182289,22,0.011087150312960148,32,4.845683813095093
274,stacked_lstm,12,64,8,0.01,,,0.06918993592262268,8,0.016293715685606003,18,3.373257875442505
275,stacked_lstm,12,128,8,0.01,,,0.03280338644981384,38,0.010323545895516872,48,8.413949012756348
276,stacked_lstm,12,32,16,0.005,,,0.06335245817899704,71,0.010533582419157028,81,8.999043703079224
277,stacked_lstm,12,64,16,0.005,,,0.05662728473544121,57,0.010630331002175808,67,8.244104146957397
278,stacked_lstm,12,128,16,0.005,,,0.06605520844459534,15,0.014416751451790333,25,4.195926666259766
279,stacked_lstm,12,32,16,0.01,,,0.06522290408611298,28,0.012416978366672993,38,4.910595417022705
280,stacked_lstm,12,64,16,0.01,,,0.05977550521492958,10,0.015338175930082798,20,3.4236316680908203
281,stacked_lstm,12,128,16,0.01,,,0.06234094500541687,47,0.008017879910767078,57,7.899752855300903
282,stacked_lstm,12,32,32,0.005,,,0.22900421917438507,40,0.038242220878601074,50,5.885059833526611
283,stacked_lstm,12,64,32,0.005,,,0.12512415647506714,16,0.023782750591635704,26,3.7234816551208496
284,stacked_lstm,12,128,32,0.005,,,0.10718971490859985,10,0.021984638646245003,20,3.3162710666656494
285,stacked_lstm,12,32,32,0.01,,,0.07594606280326843,62,0.01283032726496458,72,7.33889627456665
286,stacked_lstm,12,64,32,0.01,,,0.054778266698122025,35,0.011417186819016933,45,5.259011507034302
287,stacked_lstm,12,128,32,0.01,,,0.13408665359020233,24,0.025151913985610008,34,4.671775579452515
288,lstm_dense,12,32,4,0.005,64.0,,0.06304037570953369,18,0.012989871203899384,28,5.727157354354858
289,lstm_dense,12,64,4,0.005,64.0,,0.04506517946720123,14,0.013810145668685436,24,5.443875789642334
290,lstm_dense,12,128,4,0.005,64.0,,0.045560259371995926,18,0.01598166488111019,28,7.599924087524414
291,lstm_dense,12,32,4,0.01,64.0,,0.060944218188524246,14,0.013988979160785675,24,5.0223143100738525
292,lstm_dense,12,64,4,0.01,64.0,,0.04425152763724327,17,0.014087934046983719,27,6.051440477371216
293,lstm_dense,12,128,4,0.01,64.0,,0.0353153757750988,38,0.007901430130004883,48,11.624772787094116
294,lstm_dense,12,32,4,0.005,128.0,,0.0516931414604187,19,0.01316495519131422,29,6.104175567626953
295,lstm_dense,12,64,4,0.005,128.0,,0.04679866507649422,16,0.014436833560466766,26,5.863065004348755
296,lstm_dense,12,128,4,0.005,128.0,,0.04100292548537254,21,0.013247739523649216,31,8.172477006912231
